species,Brain size species mean,Body mass male mean,Body mass female mean,MeanGroupSize,InterbirthInterval (days),Gestation,WeaningAge_d,MaxLongevity_m,HomeRange_km2,,,
Lophocebus_albigena,93.97,7890.0,6010.0,15.8,770.15,181,211.71,392.4,1.980,,,
Lophocebus_aterrimus,101.59,7840.0,5760.0,,,,,321.6,0.340,,,
Loris_lydekkerianus,6.34,264.0,269.0,,,,,,,,,
Loris_tardigradus,5.87,192.0,193.0,2,182.5,166,167.49,196.8,0.007,,,
Macaca_arctoides,100.70,12200.0,8400.0,31.1,558,177,299,350.4,,,,
Macaca_assamensis,90.46,11300.0,6900.0,,,,,376.8,,,,
Macaca_cyclopis,82.00,6000.0,4940.0,,,,,,,,,
Macaca_fascicularis,63.98,4984.2,3517.9,27.5,398.45,165,283.53,456,0.460,,,
Macaca_fuscata,102.92,10970.0,8030.0,53.7,486.66,174,265.04,396,1.430,,,
Macaca_leonina,85.60,6520.5,4762.7,,,,,,,,,
Macaca_mulatta,88.98,7915.1,5670.5,40.7,385.5,165,304.16,432,5.910,,,
Macaca_nemestrina,105.59,11102.7,6539.2,18.2,405.07,172,292.6,411.6,1.750,,,
Macaca_nigra,94.9,9890.0,5470.0,63.8,540,176,365,408,,,,
Macaca_ochreata,,4200.0,2600.0,,,,,348,,,,
Macaca_radiata,74.87,6312.5,3855.7,30,365,161,332.25,360,0.880,,,
Macaca_silenus,85.00,8900.0,6100.0,19.6,510.39,176,362.93,480,0.880,,,
Macaca_sinica,69.70,5680.0,3200.0,24.5,547.5,152,396,420,0.400,,,
Macaca_sylvanus,93.20,14530.3,9625.0,18.2,431.71,164,210.25,264,2.630,,,
Macaca_thibetana,,15200.0,9500.0,38.3,730,170,451.79,,,,,
Mandrillus_leucophaeus,148.00,17500.0,12500.0,,513.43,179,486.66,400.8,,,,
Mandrillus_sphinx,153.88,34400.0,12800.0,,521.64,173,348.01,555.96,26.340,,,
Microcebus_murinus,1.63,63.0,67.2,1,365,61,40.45,186,0.010,,,
Microcebus_myoxinus,,31.0,30.0,1,,59.99,,,,,,
Microcebus_rufus,1.72,43.0,42.0,1,,61,40,144,0.010,,,
Miopithecus_talapoin,37.35,1940.0,1560.0,66.5,365,169,178.98,370.8,0.800,,,
Mirza_coquereli,5.80,311.0,312.0,1,365,89,136,183.6,0.030,,,
Nasalis_larvatus,92.30,19391.8,9729.6,12,547.5,166,211.75,252,3.730,,,
